TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KEMATIAN;JUMLAH KELAHIRAN
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;PETUKANGAN UTARA;16826;2.99;19001;2197;2026;2097;1994;2379;2482;2968;3124;2787;2791;2451;2240;1926;1783;1405;1436;1151;1267;862;807;939;831;122;11;218;974
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;MAKASAR;PINANG RANTI;8412;1.89;14793;1156;1062;1097;1107;1231;1219;1465;1466;1299;1284;1168;1141;974;901;698;713;588;530;383;316;341;325;54;5;95;470
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;PINANGSIA;4543;0.96;13791;495;444;939;452;441;893;495;496;991;600;612;1212;773;672;1445;626;586;1212;601;494;1902;1745;57;7;58;167
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;MATRAMAN;PISANGAN BARU;12038;0.68;54913;1396;1410;1390;1323;1518;1440;1724;1791;1759;1638;1662;1583;1434;1393;1149;1074;837;848;575;556;672;905;166;15;228;491
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;PISANGAN TIMUR;15142;1.8;26931;1793;1717;1765;1718;2114;1983;2395;2340;2249;2200;2193;2063;1834;1771;1467;1357;1032;1066;705;709;843;1073;166;14;291;725
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PLUIT;14499;7.71;6344;1670;1592;3262;1580;1576;3156;1785;1871;3656;2264;2303;4567;2542;2581;5123;2169;2132;4301;1712;1746;6288;5836;245;21;139;626
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;PONDOK BAMBU;20304;5;13285;2438;2277;2487;2370;3023;2873;3542;3545;3427;3122;2932;2734;2276;2074;1757;1711;1338;1560;1145;997;1323;1197;174;12;269;877
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;PONDOK KELAPA;21412;5.72;12673;2698;2611;2834;2730;3179;3433;3753;3782;3467;3356;3037;2894;2376;2331;1867;2106;1690;1783;1363;1157;1414;1248;166;14;152;917
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;PONDOK KOPI;10936;2.06;18136;1484;1421;1474;1533;1786;1778;2009;1984;1611;1604;1461;1433;1220;1255;976;1021;868;907;629;592;615;560;107;11;157;467
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;PONDOK LABU;14432;3.61;13349;1798;1677;1622;1628;1774;1947;2392;2444;2261;2436;2254;2130;1888;1657;1286;1266;935;943;668;613;1018;1076;98;10;163;754
